Method,Chart,Question Number,Group,Rep Majority,Pro Majority
SIG,lattice,61,a,top,bottom
SIG,lattice,61,b,equal,top
SIG,lattice,62,a,top,bottom
SIG,lattice,62,b,bottom,bottom
SIG,lattice,63,a,top,bottom
SIG,lattice,63,b,bottom,equal
SIG,lattice,64,a,bottom,top
SIG,lattice,64,b,bottom,bottom
SIG,lattice,65,a,top,bottom
SIG,lattice,65,b,bottom,bottom
SIG,lattice,66,a,equal,equal
SIG,lattice,66,b,equal,bottom
SIG,lattice,67,a,top,bottom
SIG,lattice,67,b,bottom,bottom
SIG,lattice,68,a,bottom,top
SIG,lattice,68,b,top,top
SIG,lattice,69,a,top,bottom
SIG,lattice,69,b,bottom,bottom
SIG,lattice,70,a,top,bottom
SIG,lattice,70,b,equal,bottom
SIG,lattice,71,a,top,top
SIG,lattice,71,b,top,top
SIG,lattice,72,a,equal,bottom
SIG,lattice,72,b,equal,bottom
SIG,lattice,73,a,equal,bottom
SIG,lattice,73,b,equal,top
SIG,lattice,74,a,equal,bottom
SIG,lattice,74,b,bottom,bottom
SIG,lattice,75,a,equal,equal
SIG,lattice,75,b,bottom,top
SIG,scatterplot,76,a,bottom,bottom
SIG,scatterplot,76,b,bottom,bottom
SIG,scatterplot,77,a,bottom,top
SIG,scatterplot,77,b,top,bottom
SIG,scatterplot,78,a,bottom,bottom
SIG,scatterplot,78,b,top,top
SIG,scatterplot,79,a,bottom,top
SIG,scatterplot,79,b,bottom,bottom
SIG,scatterplot,80,a,bottom,bottom
SIG,scatterplot,80,b,top,bottom
SIG,scatterplot,81,a,bottom,bottom
SIG,scatterplot,81,b,bottom,bottom
SIG,scatterplot,82,a,bottom,bottom
SIG,scatterplot,82,b,top,bottom
SIG,scatterplot,83,a,bottom,bottom
SIG,scatterplot,83,b,top,bottom
SIG,scatterplot,84,a,bottom,top
SIG,scatterplot,84,b,top,bottom
SIG,scatterplot,85,a,bottom,bottom
SIG,scatterplot,85,b,top,top
SIG,scatterplot,86,a,bottom,top
SIG,scatterplot,86,b,top,bottom
SIG,scatterplot,87,a,bottom,top
SIG,scatterplot,87,b,top,bottom
SIG,scatterplot,88,a,bottom,bottom
SIG,scatterplot,88,b,top,top
SIG,scatterplot,89,a,bottom,top
SIG,scatterplot,89,b,top,bottom
SIG,scatterplot,90,a,bottom,bottom
SIG,scatterplot,90,b,top,bottom
SIG,scatterplot,91,a,bottom,bottom
SIG,scatterplot,91,b,top,bottom
SIG,scatterplot,92,a,bottom,top
SIG,scatterplot,92,b,top,bottom
SIG,scatterplot,93,a,bottom,top
SIG,scatterplot,93,b,top,top
SIG,scatterplot,94,a,bottom,top
SIG,scatterplot,94,b,top,bottom
SIG,scatterplot,95,a,bottom,bottom
SIG,scatterplot,95,b,top,bottom
SIG,scatterplot,96,a,bottom,bottom
SIG,scatterplot,96,b,top,top
SIG,scatterplot,97,a,bottom,top
SIG,scatterplot,97,b,top,bottom
SIG,scatterplot,98,a,bottom,bottom
SIG,scatterplot,98,b,top,bottom
SIG,scatterplot,99,a,bottom,top
SIG,scatterplot,99,b,top,top
SIG,scatterplot,100,a,bottom,top
SIG,scatterplot,100,b,equal,bottom
VIG,lattice,1,a,top,bottom
VIG,lattice,1,b,top,bottom
VIG,lattice,2,a,equal,bottom
VIG,lattice,2,b,equal,bottom
VIG,lattice,3,a,bottom,bottom
VIG,lattice,3,b,equal,bottom
VIG,lattice,4,a,bottom,top
VIG,lattice,4,b,bottom,bottom
VIG,lattice,5,a,top,bottom
VIG,lattice,5,b,equal,top
VIG,lattice,6,a,equal,top
VIG,lattice,6,b,bottom,bottom
VIG,lattice,7,a,bottom,top
VIG,lattice,7,b,bottom,bottom
VIG,lattice,8,a,top,bottom
VIG,lattice,8,b,bottom,top
VIG,lattice,9,a,bottom,top
VIG,lattice,9,b,top,top
VIG,lattice,10,a,bottom,equal
VIG,lattice,10,b,equal,top
VIG,lattice,11,a,bottom,top
VIG,lattice,11,b,top,top
VIG,lattice,12,a,bottom,top
VIG,lattice,12,b,top,top
VIG,lattice,13,a,bottom,bottom
VIG,lattice,13,b,top,top
VIG,lattice,14,a,equal,top
VIG,lattice,14,b,bottom,top
VIG,lattice,15,a,equal,bottom
VIG,lattice,15,b,top,top
VIG,lattice,16,a,equal,bottom
VIG,lattice,16,b,top,top
VIG,lattice,17,a,top,bottom
VIG,lattice,17,b,top,top
VIG,lattice,18,a,bottom,top
VIG,lattice,18,b,bottom,bottom
VIG,lattice,19,a,bottom,equal
VIG,lattice,19,b,bottom,bottom
VIG,lattice,20,a,equal,equal
VIG,lattice,20,b,top,bottom
VIG,lattice,21,a,bottom,bottom
VIG,lattice,21,b,bottom,bottom
VIG,lattice,22,a,bottom,top
VIG,lattice,22,b,top,top
VIG,lattice,23,a,equal,equal
VIG,lattice,23,b,top,top
VIG,lattice,24,a,bottom,top
VIG,lattice,24,b,bottom,bottom
VIG,lattice,25,a,bottom,top
VIG,lattice,25,b,bottom,top
VIG,scatterplot,26,a,equal,top
VIG,scatterplot,26,b,top,bottom
VIG,scatterplot,27,a,bottom,top
VIG,scatterplot,27,b,top,bottom
VIG,scatterplot,28,a,equal,top
VIG,scatterplot,28,b,bottom,bottom
VIG,scatterplot,29,a,equal,bottom
VIG,scatterplot,29,b,equal,top
VIG,scatterplot,30,a,top,bottom
VIG,scatterplot,30,b,bottom,bottom
VIG,scatterplot,31,a,bottom,bottom
VIG,scatterplot,31,b,top,top
VIG,scatterplot,32,a,equal,top
VIG,scatterplot,32,b,bottom,equal
VIG,scatterplot,33,a,top,top
VIG,scatterplot,33,b,top,bottom
VIG,scatterplot,34,a,bottom,bottom
VIG,scatterplot,34,b,equal,bottom
VIG,scatterplot,35,a,bottom,top
VIG,scatterplot,35,b,top,equal
VIG,scatterplot,36,a,top,bottom
VIG,scatterplot,36,b,equal,equal
VIG,scatterplot,37,a,equal,bottom
VIG,scatterplot,37,b,bottom,bottom
VIG,scatterplot,38,a,top,bottom
VIG,scatterplot,38,b,top,bottom
VIG,scatterplot,39,a,equal,top
VIG,scatterplot,39,b,top,top
VIG,scatterplot,40,a,equal,equal
VIG,scatterplot,40,b,top,top
VIG,scatterplot,41,a,bottom,top
VIG,scatterplot,41,b,bottom,bottom
VIG,scatterplot,42,a,bottom,top
VIG,scatterplot,42,b,bottom,bottom
VIG,scatterplot,43,a,bottom,top
VIG,scatterplot,43,b,top,bottom
VIG,scatterplot,44,a,equal,bottom
VIG,scatterplot,44,b,top,bottom
VIG,scatterplot,45,a,bottom,top
VIG,scatterplot,45,b,bottom,equal
VIG,scatterplot,46,a,bottom,bottom
VIG,scatterplot,46,b,top,bottom
VIG,scatterplot,47,a,equal,equal
VIG,scatterplot,47,b,equal,equal
VIG,scatterplot,48,a,bottom,bottom
VIG,scatterplot,48,b,top,bottom
VIG,scatterplot,49,a,top,top
VIG,scatterplot,49,b,top,bottom
VIG,scatterplot,50,a,bottom,bottom
VIG,scatterplot,50,b,bottom,equal
XRAY,barchart,176,a,bottom,top
XRAY,barchart,176,b,top,top
XRAY,barchart,177,a,bottom,top
XRAY,barchart,177,b,top,bottom
XRAY,barchart,178,a,equal,bottom
XRAY,barchart,178,b,bottom,bottom
XRAY,barchart,179,a,bottom,top
XRAY,barchart,179,b,top,top
XRAY,barchart,180,a,bottom,bottom
XRAY,barchart,180,b,top,top
XRAY,barchart,181,a,bottom,bottom
XRAY,barchart,181,b,equal,bottom
XRAY,barchart,182,a,equal,bottom
XRAY,barchart,182,b,equal,equal
XRAY,barchart,183,a,bottom,bottom
XRAY,barchart,183,b,equal,bottom
XRAY,barchart,184,a,bottom,bottom
XRAY,barchart,184,b,top,bottom
XRAY,barchart,185,a,bottom,bottom
XRAY,barchart,185,b,equal,bottom
XRAY,barchart,186,a,equal,bottom
XRAY,barchart,186,b,bottom,bottom
XRAY,barchart,187,a,bottom,top
XRAY,barchart,187,b,equal,bottom
XRAY,lattice,126,a,equal,bottom
XRAY,lattice,126,b,bottom,bottom
XRAY,lattice,127,a,bottom,equal
XRAY,lattice,127,b,top,equal
XRAY,lattice,128,a,bottom,equal
XRAY,lattice,128,b,top,bottom
XRAY,lattice,129,a,bottom,top
XRAY,lattice,129,b,top,bottom
XRAY,lattice,130,a,top,bottom
XRAY,lattice,130,b,bottom,bottom
XRAY,lattice,131,a,bottom,bottom
XRAY,lattice,131,b,top,top
XRAY,lattice,132,a,bottom,top
XRAY,lattice,132,b,top,top
XRAY,lattice,133,a,bottom,bottom
XRAY,lattice,133,b,bottom,bottom
XRAY,lattice,134,a,bottom,bottom
XRAY,lattice,134,b,bottom,bottom
XRAY,lattice,135,a,bottom,top
XRAY,lattice,135,b,top,top
XRAY,lattice,136,a,top,bottom
XRAY,lattice,136,b,top,equal
XRAY,lattice,137,a,bottom,top
XRAY,lattice,137,b,bottom,bottom
XRAY,lattice,138,a,bottom,bottom
XRAY,lattice,138,b,top,bottom
XRAY,lattice,139,a,bottom,top
XRAY,lattice,139,b,bottom,bottom
XRAY,lattice,140,a,bottom,top
XRAY,lattice,140,b,top,top
XRAY,lattice,141,a,equal,top
XRAY,lattice,141,b,bottom,bottom
XRAY,lattice,142,a,bottom,top
XRAY,lattice,142,b,top,top
XRAY,lattice,143,a,bottom,bottom
XRAY,lattice,143,b,bottom,bottom
XRAY,lattice,144,a,bottom,top
XRAY,lattice,144,b,top,top
XRAY,lattice,145,a,equal,bottom
XRAY,lattice,145,b,top,top
XRAY,lattice,146,a,top,bottom
XRAY,lattice,146,b,top,bottom
XRAY,lattice,147,a,bottom,top
XRAY,lattice,147,b,top,top
XRAY,lattice,148,a,bottom,bottom
XRAY,lattice,148,b,top,top
XRAY,lattice,149,a,bottom,bottom
XRAY,lattice,149,b,top,bottom
XRAY,lattice,150,a,top,bottom
XRAY,lattice,150,b,top,top
XRAY,scatterplot,151,a,top,bottom
XRAY,scatterplot,151,b,top,equal
XRAY,scatterplot,152,a,top,top
XRAY,scatterplot,152,b,bottom,equal
XRAY,scatterplot,153,a,equal,equal
XRAY,scatterplot,153,b,bottom,top
XRAY,scatterplot,154,a,bottom,bottom
XRAY,scatterplot,154,b,bottom,equal
XRAY,scatterplot,155,a,equal,bottom
XRAY,scatterplot,155,b,top,bottom
XRAY,scatterplot,156,a,top,top
XRAY,scatterplot,156,b,top,bottom
XRAY,scatterplot,157,a,bottom,bottom
XRAY,scatterplot,157,b,bottom,bottom
XRAY,scatterplot,158,a,equal,equal
XRAY,scatterplot,158,b,top,bottom
XRAY,scatterplot,159,a,top,bottom
XRAY,scatterplot,159,b,top,bottom
XRAY,scatterplot,160,a,top,bottom
XRAY,scatterplot,160,b,top,top
XRAY,scatterplot,161,a,equal,bottom
XRAY,scatterplot,161,b,top,bottom
XRAY,scatterplot,162,a,bottom,bottom
XRAY,scatterplot,162,b,top,equal
XRAY,scatterplot,163,a,equal,equal
XRAY,scatterplot,163,b,top,top
XRAY,scatterplot,164,a,top,equal
XRAY,scatterplot,164,b,bottom,equal
XRAY,scatterplot,165,a,bottom,top
XRAY,scatterplot,165,b,top,bottom
XRAY,scatterplot,166,a,equal,bottom
XRAY,scatterplot,166,b,top,top
XRAY,scatterplot,167,a,equal,bottom
XRAY,scatterplot,167,b,bottom,equal
XRAY,scatterplot,168,a,bottom,bottom
XRAY,scatterplot,168,b,top,top
XRAY,scatterplot,169,a,equal,bottom
XRAY,scatterplot,169,b,top,bottom
XRAY,scatterplot,170,a,equal,bottom
XRAY,scatterplot,170,b,top,bottom
XRAY,scatterplot,171,a,equal,bottom
XRAY,scatterplot,171,b,top,bottom
XRAY,scatterplot,172,a,bottom,bottom
XRAY,scatterplot,172,b,bottom,bottom
XRAY,scatterplot,173,a,bottom,equal
XRAY,scatterplot,173,b,bottom,bottom
XRAY,scatterplot,174,a,bottom,bottom
XRAY,scatterplot,174,b,bottom,equal
XRAY,scatterplot,175,a,equal,bottom
XRAY,scatterplot,175,b,bottom,bottom
