User ID,Question Number,Timestamp,Group,Method,Chart,Rep Concept ID,Rep Saliency,Pro Concept ID,Pro Saliency
expert_id-1720169233313-etyldhhp8,28,05/07/2024 10.06.51,a,VIG,scatterplot,29,weak top,29,weak top
expert_id-1720169161410-nkroiq3cd,53,05/07/2024 10.06.52,a,SIG,lattice,5,weak top,0,equal
expert_id-1720169161410-nkroiq3cd,54,05/07/2024 10.07.03,a,SIG,lattice,0,equal,44,weak top
expert_id-1720169161410-nkroiq3cd,55,05/07/2024 10.07.14,a,SIG,lattice,9,weak top,40,weak bottom
expert_id-1720169233313-etyldhhp8,29,05/07/2024 10.07.16,a,VIG,scatterplot,0,equal,72,strong bottom
expert_id-1720169161410-nkroiq3cd,56,05/07/2024 10.07.22,a,SIG,lattice,8,weak top,57,weak bottom
expert_id-1720169161410-nkroiq3cd,57,05/07/2024 10.07.38,a,SIG,lattice,0,equal,64,weak top
expert_id-1720169161410-nkroiq3cd,58,05/07/2024 10.07.48,a,SIG,lattice,10,weak top,10,weak top
expert_id-1720169161410-nkroiq3cd,59,05/07/2024 10.07.56,a,SIG,lattice,11,weak top,11,weak top
expert_id-1720169161410-nkroiq3cd,60,05/07/2024 10.08.05,a,SIG,lattice,14,weak bottom,14,weak bottom
expert_id-1720169161410-nkroiq3cd,61,05/07/2024 10.08.17,a,SIG,lattice,8,weak top,8,weak top
expert_id-1720169328517-ozj5mn39a,14,05/07/2024 10.08.21,a,VIG,lattice,0,equal,53,weak bottom
expert_id-1720169161410-nkroiq3cd,62,05/07/2024 10.08.24,a,SIG,lattice,4,weak top,4,weak top
expert_id-1720169161410-nkroiq3cd,63,05/07/2024 10.08.31,a,SIG,lattice,15,weak top,15,weak top
expert_id-1720169161410-nkroiq3cd,64,05/07/2024 10.08.38,a,SIG,lattice,0,equal,64,weak top
expert_id-1720169328517-ozj5mn39a,15,05/07/2024 10.08.53,a,VIG,lattice,35,weak top,47,weak bottom
expert_id-1720169161410-nkroiq3cd,65,05/07/2024 10.08.54,a,SIG,lattice,4,weak top,4,weak top
expert_id-1720169161410-nkroiq3cd,66,05/07/2024 10.09.04,a,SIG,lattice,0,equal,0,equal
expert_id-1720169233313-etyldhhp8,30,05/07/2024 10.09.05,a,VIG,scatterplot,21,weak top,60,weak bottom
expert_id-1720169328517-ozj5mn39a,16,05/07/2024 10.09.16,a,VIG,lattice,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,67,05/07/2024 10.09.27,a,SIG,lattice,20,weak top,55,weak bottom
expert_id-1720169161410-nkroiq3cd,68,05/07/2024 10.09.34,a,SIG,lattice,0,equal,53,weak top
expert_id-1720169328517-ozj5mn39a,17,05/07/2024 10.09.40,a,VIG,lattice,1,strong top,77,weak bottom
expert_id-1720169161410-nkroiq3cd,69,05/07/2024 10.09.40,a,SIG,lattice,80,weak bottom,15,weak top
expert_id-1720169161410-nkroiq3cd,70,05/07/2024 10.09.48,a,SIG,lattice,9,weak top,69,weak bottom
expert_id-1720169233313-etyldhhp8,31,05/07/2024 10.09.48,a,VIG,scatterplot,2,weak bottom,26,weak top
expert_id-1720169161410-nkroiq3cd,71,05/07/2024 10.10.12,a,SIG,lattice,10,weak top,49,weak bottom
expert_id-1720169161410-nkroiq3cd,72,05/07/2024 10.10.24,a,SIG,lattice,0,equal,7,weak bottom
expert_id-1720169328517-ozj5mn39a,18,05/07/2024 10.10.26,a,VIG,lattice,5,strong bottom,79,weak top
expert_id-1720169161410-nkroiq3cd,73,05/07/2024 10.10.30,a,SIG,lattice,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,74,05/07/2024 10.10.40,a,SIG,lattice,0,equal,25,weak bottom
expert_id-1720169161410-nkroiq3cd,75,05/07/2024 10.10.55,a,SIG,lattice,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,76,05/07/2024 10.11.01,a,SIG,scatterplot,6,weak bottom,6,weak bottom
expert_id-1720169161410-nkroiq3cd,77,05/07/2024 10.11.07,a,SIG,scatterplot,3,weak bottom,66,weak top
expert_id-1720169161410-nkroiq3cd,78,05/07/2024 10.11.17,a,SIG,scatterplot,4,weak bottom,0,equal
expert_id-1720169161410-nkroiq3cd,79,05/07/2024 10.11.24,a,SIG,scatterplot,2,weak bottom,57,weak top
expert_id-1720169328517-ozj5mn39a,19,05/07/2024 10.11.27,a,VIG,lattice,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,80,05/07/2024 10.11.34,a,SIG,scatterplot,3,weak bottom,3,weak bottom
expert_id-1720169328517-ozj5mn39a,20,05/07/2024 10.11.37,a,VIG,lattice,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,81,05/07/2024 10.11.46,a,SIG,scatterplot,5,weak bottom,5,weak bottom
expert_id-1720169161410-nkroiq3cd,82,05/07/2024 10.11.54,a,SIG,scatterplot,2,weak bottom,2,weak bottom
expert_id-1720169233313-etyldhhp8,32,05/07/2024 10.12.02,a,VIG,scatterplot,0,equal,67,weak top
expert_id-1720169161410-nkroiq3cd,83,05/07/2024 10.12.01,a,SIG,scatterplot,5,weak bottom,49,weak top
expert_id-1720169161410-nkroiq3cd,84,05/07/2024 10.12.14,a,SIG,scatterplot,78,weak top,78,weak top
expert_id-1720169328517-ozj5mn39a,21,05/07/2024 10.12.19,a,VIG,lattice,13,weak bottom,13,weak bottom
expert_id-1720169233313-etyldhhp8,33,05/07/2024 10.12.19,a,VIG,scatterplot,0,equal,38,weak top
expert_id-1720169161410-nkroiq3cd,85,05/07/2024 10.12.33,a,SIG,scatterplot,6,weak bottom,6,weak bottom
expert_id-1720169161410-nkroiq3cd,86,05/07/2024 10.12.44,a,SIG,scatterplot,4,weak bottom,4,weak bottom
expert_id-1720169161410-nkroiq3cd,87,05/07/2024 10.12.59,a,SIG,scatterplot,5,weak bottom,77,weak top
expert_id-1720169328517-ozj5mn39a,22,05/07/2024 10.13.01,a,VIG,lattice,0,equal,56,weak top
expert_id-1720169161410-nkroiq3cd,88,05/07/2024 10.13.04,a,SIG,scatterplot,6,weak bottom,6,weak bottom
expert_id-1720169233313-etyldhhp8,34,05/07/2024 10.13.11,a,VIG,scatterplot,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,89,05/07/2024 10.13.11,a,SIG,scatterplot,3,weak bottom,69,weak top
expert_id-1720169328517-ozj5mn39a,23,05/07/2024 10.13.17,a,VIG,lattice,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,90,05/07/2024 10.13.19,a,SIG,scatterplot,2,weak bottom,2,weak bottom
expert_id-1720169161410-nkroiq3cd,91,05/07/2024 10.13.29,a,SIG,scatterplot,5,weak bottom,5,weak bottom
expert_id-1720169233313-etyldhhp8,35,05/07/2024 10.13.36,a,VIG,scatterplot,84,weak top,84,strong top
expert_id-1720169161410-nkroiq3cd,92,05/07/2024 10.13.39,a,SIG,scatterplot,3,weak bottom,77,weak top
expert_id-1720169161410-nkroiq3cd,93,05/07/2024 10.13.49,a,SIG,scatterplot,4,weak bottom,69,weak top
expert_id-1720169233313-etyldhhp8,36,05/07/2024 10.13.50,a,VIG,scatterplot,3,weak top,54,weak bottom
expert_id-1720169161410-nkroiq3cd,94,05/07/2024 10.14.19,a,SIG,scatterplot,4,weak bottom,43,weak top
expert_id-1720169328517-ozj5mn39a,24,05/07/2024 10.14.23,a,VIG,lattice,0,equal,56,strong top
expert_id-1720169161410-nkroiq3cd,95,05/07/2024 10.14.24,a,SIG,scatterplot,6,weak bottom,6,weak bottom
expert_id-1720169161410-nkroiq3cd,96,05/07/2024 10.14.30,a,SIG,scatterplot,6,weak bottom,6,weak bottom
expert_id-1720169161410-nkroiq3cd,97,05/07/2024 10.14.39,a,SIG,scatterplot,3,weak bottom,65,weak top
expert_id-1720169161410-nkroiq3cd,98,05/07/2024 10.14.43,a,SIG,scatterplot,2,weak bottom,78,weak top
expert_id-1720169161410-nkroiq3cd,99,05/07/2024 10.15.00,a,SIG,scatterplot,4,weak bottom,4,weak bottom
expert_id-1720169328517-ozj5mn39a,25,05/07/2024 10.15.02,a,VIG,lattice,8,strong bottom,8,weak bottom
expert_id-1720169161410-nkroiq3cd,100,05/07/2024 10.15.07,a,SIG,scatterplot,5,weak bottom,5,weak bottom
expert_id-1720169161410-nkroiq3cd,101,05/07/2024 10.15.16,a,SIG,barchart,77,weak bottom,77,weak bottom
expert_id-1720169233313-etyldhhp8,37,05/07/2024 10.15.17,a,VIG,scatterplot,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,102,05/07/2024 10.15.22,a,SIG,barchart,14,weak top,14,weak top
expert_id-1720169161410-nkroiq3cd,103,05/07/2024 10.15.30,a,SIG,barchart,4,weak top,4,weak top
expert_id-1720169161410-nkroiq3cd,104,05/07/2024 10.15.35,a,SIG,barchart,7,weak top,7,weak top
expert_id-1720169233313-etyldhhp8,38,05/07/2024 10.15.43,a,VIG,scatterplot,0,equal,61,weak bottom
expert_id-1720169161410-nkroiq3cd,105,05/07/2024 10.15.45,a,SIG,barchart,11,weak top,74,weak bottom
expert_id-1720169233313-etyldhhp8,39,05/07/2024 10.15.47,a,VIG,scatterplot,0,equal,85,weak top
expert_id-1720169161410-nkroiq3cd,106,05/07/2024 10.15.54,a,SIG,barchart,8,weak top,8,weak top
expert_id-1720169328517-ozj5mn39a,26,05/07/2024 10.16.00,a,VIG,scatterplot,0,equal,36,weak top
expert_id-1720169161410-nkroiq3cd,107,05/07/2024 10.16.02,a,SIG,barchart,16,weak top,16,weak top
expert_id-1720169161410-nkroiq3cd,108,05/07/2024 10.16.07,a,SIG,barchart,15,weak top,15,weak top
expert_id-1720169161410-nkroiq3cd,109,05/07/2024 10.16.11,a,SIG,barchart,10,weak top,10,weak top
expert_id-1720169161410-nkroiq3cd,110,05/07/2024 10.16.16,a,SIG,barchart,2,weak bottom,2,weak bottom
expert_id-1720169233313-etyldhhp8,40,05/07/2024 10.16.20,a,VIG,scatterplot,0,equal,39,weak top
expert_id-1720169161410-nkroiq3cd,111,05/07/2024 10.16.24,a,SIG,barchart,49,weak bottom,49,weak bottom
expert_id-1720169328517-ozj5mn39a,27,05/07/2024 10.16.27,a,VIG,scatterplot,6,strong bottom,82,weak top
expert_id-1720169161410-nkroiq3cd,112,05/07/2024 10.16.41,a,SIG,barchart,1,weak bottom,24,weak top
expert_id-1720169161410-nkroiq3cd,113,05/07/2024 10.16.50,a,SIG,barchart,18,weak top,18,weak top
expert_id-1720169233313-etyldhhp8,41,05/07/2024 10.16.55,a,VIG,scatterplot,2,strong bottom,24,weak top
expert_id-1720169161410-nkroiq3cd,114,05/07/2024 10.16.59,a,SIG,barchart,9,weak top,77,weak bottom
expert_id-1720169161410-nkroiq3cd,115,05/07/2024 10.17.04,a,SIG,barchart,5,weak top,5,weak top
expert_id-1720169161410-nkroiq3cd,116,05/07/2024 10.17.13,a,SIG,barchart,28,weak top,80,weak bottom
expert_id-1720169328517-ozj5mn39a,28,05/07/2024 10.17.17,a,VIG,scatterplot,0,equal,29,weak top
expert_id-1720169161410-nkroiq3cd,117,05/07/2024 10.17.20,a,SIG,barchart,21,weak top,21,weak top
expert_id-1720169161410-nkroiq3cd,118,05/07/2024 10.17.29,a,SIG,barchart,13,weak top,49,weak bottom
expert_id-1720169233313-etyldhhp8,42,05/07/2024 10.17.34,a,VIG,scatterplot,0,equal,80,strong top
expert_id-1720169161410-nkroiq3cd,119,05/07/2024 10.17.33,a,SIG,barchart,2,weak bottom,12,weak top
expert_id-1720169161410-nkroiq3cd,120,05/07/2024 10.17.43,a,SIG,barchart,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,121,05/07/2024 10.17.50,a,SIG,barchart,33,weak top,33,weak top
expert_id-1720169233313-etyldhhp8,43,05/07/2024 10.17.52,a,VIG,scatterplot,6,weak bottom,81,strong top
expert_id-1720169161410-nkroiq3cd,122,05/07/2024 10.17.59,a,SIG,barchart,1,weak bottom,6,weak top
expert_id-1720169161410-nkroiq3cd,123,05/07/2024 10.18.06,a,SIG,barchart,1,weak bottom,1,weak bottom
expert_id-1720169161410-nkroiq3cd,124,05/07/2024 10.18.18,a,SIG,barchart,0,equal,74,weak bottom
expert_id-1720169233313-etyldhhp8,44,05/07/2024 10.18.21,a,VIG,scatterplot,49,weak top,72,strong bottom
expert_id-1720169161410-nkroiq3cd,125,05/07/2024 10.18.27,a,SIG,barchart,4,weak top,77,weak bottom
expert_id-1720169161410-nkroiq3cd,126,05/07/2024 10.18.31,a,XRAY,lattice,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,127,05/07/2024 10.18.36,a,XRAY,lattice,14,weak bottom,0,equal
expert_id-1720169161410-nkroiq3cd,128,05/07/2024 10.18.43,a,XRAY,lattice,14,weak bottom,0,equal
expert_id-1720169328517-ozj5mn39a,29,05/07/2024 10.18.49,a,VIG,scatterplot,0,equal,72,weak bottom
expert_id-1720169161410-nkroiq3cd,129,05/07/2024 10.18.51,a,XRAY,lattice,1,weak bottom,5,weak top
expert_id-1720169161410-nkroiq3cd,130,05/07/2024 10.19.00,a,XRAY,lattice,8,weak top,56,weak bottom
expert_id-1720169233313-etyldhhp8,45,05/07/2024 10.19.01,a,VIG,scatterplot,16,weak bottom,78,strong top
expert_id-1720169161410-nkroiq3cd,131,05/07/2024 10.19.10,a,XRAY,lattice,6,weak bottom,6,weak bottom
expert_id-1720169161410-nkroiq3cd,132,05/07/2024 10.19.15,a,XRAY,lattice,14,weak bottom,83,weak top
expert_id-1720169161410-nkroiq3cd,133,05/07/2024 10.19.19,a,XRAY,lattice,1,weak bottom,1,weak bottom
expert_id-1720169161410-nkroiq3cd,134,05/07/2024 10.19.24,a,XRAY,lattice,1,weak bottom,1,weak bottom
expert_id-1720169233313-etyldhhp8,46,05/07/2024 10.19.28,a,VIG,scatterplot,2,weak bottom,43,weak top
expert_id-1720169161410-nkroiq3cd,135,05/07/2024 10.19.31,a,XRAY,lattice,2,weak bottom,10,weak top
expert_id-1720169328517-ozj5mn39a,30,05/07/2024 10.19.32,a,VIG,scatterplot,21,weak top,60,weak bottom
expert_id-1720169161410-nkroiq3cd,136,05/07/2024 10.19.36,a,XRAY,lattice,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,137,05/07/2024 10.19.42,a,XRAY,lattice,3,weak bottom,3,weak bottom
expert_id-1720169161410-nkroiq3cd,138,05/07/2024 10.19.48,a,XRAY,lattice,3,weak bottom,3,weak bottom
expert_id-1720169161410-nkroiq3cd,139,05/07/2024 10.19.53,a,XRAY,lattice,3,weak bottom,3,weak bottom
expert_id-1720169161410-nkroiq3cd,140,05/07/2024 10.20.01,a,XRAY,lattice,6,weak bottom,70,weak top
expert_id-1720169161410-nkroiq3cd,141,05/07/2024 10.20.06,a,XRAY,lattice,0,equal,14,weak bottom
expert_id-1720169328517-ozj5mn39a,31,05/07/2024 10.20.16,a,VIG,scatterplot,2,strong bottom,26,weak top
expert_id-1720169161410-nkroiq3cd,142,05/07/2024 10.20.15,a,XRAY,lattice,2,weak bottom,2,weak bottom
expert_id-1720169161410-nkroiq3cd,143,05/07/2024 10.20.19,a,XRAY,lattice,6,weak bottom,6,weak bottom
expert_id-1720169233313-etyldhhp8,47,05/07/2024 10.20.25,a,VIG,scatterplot,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,144,05/07/2024 10.20.29,a,XRAY,lattice,3,weak bottom,3,weak bottom
expert_id-1720169328517-ozj5mn39a,32,05/07/2024 10.20.30,a,VIG,scatterplot,0,equal,67,strong top
expert_id-1720169161410-nkroiq3cd,145,05/07/2024 10.20.34,a,XRAY,lattice,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,146,05/07/2024 10.20.47,a,XRAY,lattice,4,weak top,0,equal
expert_id-1720169161410-nkroiq3cd,147,05/07/2024 10.20.52,a,XRAY,lattice,3,weak bottom,3,weak bottom
expert_id-1720169161410-nkroiq3cd,148,05/07/2024 10.20.57,a,XRAY,lattice,1,weak bottom,1,weak bottom
expert_id-1720169161410-nkroiq3cd,149,05/07/2024 10.21.04,a,XRAY,lattice,2,weak bottom,2,weak bottom
expert_id-1720169161410-nkroiq3cd,150,05/07/2024 10.21.11,a,XRAY,lattice,7,weak top,7,weak top
expert_id-1720169161410-nkroiq3cd,151,05/07/2024 10.21.17,a,XRAY,scatterplot,18,weak top,18,weak top
expert_id-1720169233313-etyldhhp8,48,05/07/2024 10.21.18,a,VIG,scatterplot,61,weak bottom,61,weak bottom
expert_id-1720169161410-nkroiq3cd,152,05/07/2024 10.21.26,a,XRAY,scatterplot,27,weak top,27,weak top
expert_id-1720169161410-nkroiq3cd,153,05/07/2024 10.21.30,a,XRAY,scatterplot,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,154,05/07/2024 10.21.44,a,XRAY,scatterplot,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,155,05/07/2024 10.21.48,a,XRAY,scatterplot,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,156,05/07/2024 10.21.58,a,XRAY,scatterplot,49,weak bottom,0,equal
